device_name,description,description_vi
blinds.back_window,Back Window Blinds,Rèm cửa sổ trở lại
blinds.basement,Basement Blinds,Rèm tầng hầm
blinds.bathroom_1,First bathroom blinds,Rèm phòng tắm đầu tiên
blinds.bathroom,Bathroom Blinds,Rèm phòng tắm
blinds.craft_room,Craft room blinds,Rèm phòng thủ công
blinds.dining_room,Dining Room Blinds,Phòng ăn rèm
blinds.front_window,Front Window Blinds,Rèm cửa sổ phía trước
blinds.garage,Garage Blinds,Rèm nhà để xe
blinds.guest_bathroom,Guest bathroom blinds,Rèm phòng tắm cho khách
blinds.guest_room,Guest Room Blinds,Phòng khách rèm
blinds.hallway_1,First hallway blinds,Rèm hành lang đầu tiên
blinds.hallway_2,Second hallway blinds,Rèm hành lang thứ hai
blinds.hallway,Hallway Blinds,Rèm hành lang
blinds.ikea_smart,Ikea Smart Blinds,IKEA Rèm thông minh
blinds.kids_room,Kids' room blinds,Rèm phòng trẻ em
blinds.kitchen_window,Kitchen window blinds,Rèm cửa sổ nhà bếp
blinds.kitchen,Kitchen Blinds,Rèm nhà bếp
blinds.living_room_large,Main living room blinds,Phòng khách chính rèm
blinds.living_room,Living Room Blinds,Rèm phòng khách
blinds.master_bedroom,Master Bedroom Blinds,Rèm phòng ngủ chính
blinds.nursery,Nursery Blinds,Mắt vườn ươm
blinds.office,Office Blinds,Rèm văn phòng
blinds.office_window,Office Window Blinds,Rèm cửa sổ văn phòng
blinds.patio,Patio Blinds,Rèm hiên
blinds.skylight,Skylight Blinds,Bí quyết rèm
blinds.skylight,Skylight blinds,Bí quyết rèm
blinds.somfy_kitchen,Kitchen Blinds,Rèm nhà bếp
blinds.somfy_living,Living Room Blinds,Rèm phòng khách
blinds.sunroom,Sunroom Blinds,Rèm phòng tắm nắng
blinds.theater_room,Home theater blinds,Rèm nhà hát tại nhà
garage_door.basement,Basement Garage Door,Cửa nhà để xe
garage_door.bike_shed,Bike shed door,Cửa xe đạp cửa
garage_door.bike_storage,Bike Storage Garage,Nhà để xe lưu trữ xe đạp
garage_door.boat,Boat Garage Door,Cửa nhà để xe
garage_door.boat,Boat storage door,Cửa lưu trữ thuyền
garage_door.carport,Carport Garage Door,Cửa nhà để xe
garage_door.carport,Carport door,Cửa carport
garage_door.chamberlain_1,Chamberlain,Chamberlain
garage_door.chamberlain_2,Chamberlain,Chamberlain
garage_door.golf_cart,Golf Cart Garage,Golf xe gara
garage_door.golf_cart,Golf cart door,Cửa xe golf
garage_door.greenhouse,Greenhouse door,Cửa nhà kính
garage_door.guest,Guest Garage Door,Cửa nhà để xe khách
garage_door.lawn_equipment,Lawn equipment door,Cửa thiết bị cỏ
garage_door.liftmaster_1,LiftMaster,Thang máy
garage_door.liftmaster_2,LiftMaster,Thang máy
garage_door.main_1,Primary garage door,Cửa nhà để xe chính
garage_door.main,Main Garage Door,Cửa nhà để xe chính
