device_name,english_phrase,service_name,english_phrase_vi
blinds.kitchen,Could you raise the kitchen blinds,open,Bạn có thể nâng rèm bếp không
blinds.kitchen,Lower the kitchen blinds,close,Hạ thấp rèm nhà bếp
blinds.kitchen,Stop the kitchen blinds where they are,stop,Dừng rèm nhà bếp nơi họ đang ở
blinds.kitchen,Switch the state of the kitchen blinds,toggle,Chuyển đổi trạng thái của rèm nhà bếp
blinds.living_room,Close the living room blinds,close,Đóng rèm phòng khách
blinds.living_room,Open the living room blinds,open,Mở rèm phòng khách
blinds.living_room,Stop adjusting the living room blinds,stop,Ngừng điều chỉnh rèm phòng khách
blinds.living_room,Toggle the living room blinds,toggle,Chuyển đổi rèm phòng khách
blinds.master_bedroom,Lift the master bedroom blinds,open,Nâng rèm phòng ngủ chính
blinds.master_bedroom,Please halt the master bedroom blinds,stop,Vui lòng tạm dừng rèm phòng ngủ chính
blinds.master_bedroom,Reverse the master bedroom blinds,toggle,Đảo ngược rèm phòng ngủ chính
blinds.master_bedroom,Shut the master bedroom blinds,close,Tắt rèm phòng ngủ chính
fan.attic_1,Disable the attic fan,turn_off,Tắt quạt Attic
fan.attic_1,Increase speed of the attic fan,increase_speed,Tăng tốc độ của quạt gác mái
fan.attic_1,Slow down the attic fan,decrease_speed,Làm chậm quạt gác mái
fan.attic_1,Slow down the attic fan,decrease_speed,Làm chậm quạt gác mái
fan.attic_1,Turn down the attic fan,decrease_speed,Từ chối quạt gác mái
fan.attic_2,Toggle the attic fan,toggle,Chuyển đổi quạt gác mái
fan.attic_2,Toggle the attic fan,toggle,Chuyển đổi quạt gác mái
fan.attic,Accelerate the fan in the attic,increase_speed,Tăng tốc quạt trên gác mái
fan.attic,Change the fan status in the attic,toggle,Thay đổi trạng thái quạt trên gác mái
fan.attic,Slow down the fan in the attic,decrease_speed,Làm chậm quạt trên gác mái
fan.basement,Toggle the basement fan,toggle,Chuyển đổi quạt tầng hầm
fan.basement,Toggle the basement fan,toggle,Chuyển đổi quạt tầng hầm
fan.bathroom,Activate the bathroom fan,turn_on,Kích hoạt quạt phòng tắm
fan.bathroom,Turn on the bathroom fan,turn_on,Bật quạt phòng tắm
fan.bathroom,Turn on the bathroom fan,turn_on,Bật quạt phòng tắm
fan.bedroom_master,Activate the master bedroom fan,turn_on,Kích hoạt quạt phòng ngủ chính
fan.bedroom_master,Deactivate the master bedroom fan,turn_off,Vô hiệu hóa quạt phòng ngủ chính
fan.bedroom_master,Ramp up the master bedroom fan speed,increase_speed,Tăng tốc độ quạt phòng ngủ chính
fan.bedroom_master,Slow down the master bedroom fan,decrease_speed,Làm chậm quạt phòng ngủ chính
fan.bedroom_master,Switch the state of the master bedroom fan,toggle,Chuyển đổi trạng thái của quạt phòng ngủ chính
fan.bedroom,Toggle the bedroom fan,toggle,Chuyển đổi quạt phòng ngủ
fan.bedroom,Toggle the bedroom fan,toggle,Chuyển đổi quạt phòng ngủ
fan.bedroom,Toggle the bedroom fan,toggle,Chuyển đổi quạt phòng ngủ
fan.dining_area,Please switch off the dining area fan,turn_off,Vui lòng tắt quạt khu vực ăn uống
fan.dining_area,Please switch on the dining area fan,turn_on,Vui lòng bật quạt khu vực ăn uống
fan.dining_room,Switch off the dining room fan,turn_off,Tắt quạt phòng ăn
fan.dining_table_above,Please toggle the fan above the dining table,toggle,Vui lòng chuyển quạt phía trên bàn ăn
fan.driveway,Flip the driveway fan,toggle,Lật quạt đường lái xe
fan.garage,Flip the fan in the garage,toggle,Lật quạt trong nhà để xe
fan.garage,Shut down the garage fan,turn_off,Tắt máy quạt nhà để xe
fan.garage,Switch off the garage fan,turn_off,Tắt quạt nhà để xe
fan.garage,Switch off the garage fan,turn_off,Tắt quạt nhà để xe
fan.garage,Turn down the fan in the garage,decrease_speed,Từ chối quạt trong nhà để xe
fan.garage,Turn on the garage fan,turn_on,Bật quạt nhà để xe
fan.garage,Turn up the fan in the garage,increase_speed,Bật quạt trong nhà để xe
fan.guest_room,Can you toggle the fan in the guest room,toggle,Bạn có thể chuyển quạt trong phòng khách không
fan.guest_room,Decrease the fan speed in the guest room,decrease_speed,Giảm tốc độ quạt trong phòng khách
fan.guest_room,Increase the fan speed in the guest room,increase_speed,Tăng tốc độ quạt trong phòng khách
fan.guest_room,Switch off the guest room fan,turn_off,Tắt quạt phòng khách
fan.hallway,Boost the fan speed in the hallway,increase_speed,Tăng tốc độ quạt ở hành lang
fan.hallway,Enable the hallway fan,turn_on,Bật quạt hành lang
fan.hallway,Lower the fan speed in the hallway,decrease_speed,Hạ tốc độ quạt trên hành lang
fan.hallway,Switch the state of the fan in the hallway,toggle,Chuyển trạng thái của quạt trên hành lang
fan.kitchen,Enable the kitchen fan,turn_on,Bật quạt nhà bếp
fan.kitchen,Slow down the kitchen fan,decrease_speed,Làm chậm quạt nhà bếp
fan.kitchen,Slow down the kitchen fan,decrease_speed,Làm chậm quạt nhà bếp
fan.kitchen,Switch off the kitchen fan,turn_off,Tắt quạt nhà bếp
fan.kitchen,Switch off the kitchen fan,turn_off,Tắt quạt nhà bếp
fan.kitchen,Toggle the kitchen fan,toggle,Chuyển đổi quạt nhà bếp
fan.kitchen,Turn down the kitchen fan,decrease_speed,Lật quạt nhà bếp
fan.living_room,Decrease the speed of the living room fan,decrease_speed,Giảm tốc độ của quạt phòng khách
fan.living_room,Increase the speed of the living room fan,increase_speed,Tăng tốc độ của quạt phòng khách
fan.living_room,Start the living room fan,turn_on,Bắt đầu quạt phòng khách
fan.living_room,Toggle the fan in the living room,toggle,Chuyển đổi quạt trong phòng khách
fan.living_room,Turn down the living room fan,decrease_speed,Lật quạt phòng khách
fan.living_room,Turn off the living room fan,turn_off,Tắt người hâm mộ phòng khách
fan.living_room,Turn off the living room fan,turn_off,Tắt người hâm mộ phòng khách
fan.living_room,Turn on the living room fan,turn_on,Bật quạt phòng khách
fan.living_room,Turn on the living room fan,turn_on,Bật quạt phòng khách
fan.office,Could you disable the office fan,turn_off,Bạn có thể vô hiệu hóa quạt văn phòng không
fan.office,Could you enable the office fan,turn_on,Bạn có thể bật quạt văn phòng
fan.office,Toggle the office fan,toggle,Chuyển đổi quạt văn phòng
fan.office,Toggle the office fan,toggle,Chuyển đổi quạt văn phòng
fan.office,Toggle the office fan,toggle,Chuyển đổi quạt văn phòng
fan.office,Turn off the office fan,turn_off,Tắt quạt văn phòng
fan.office,Turn off the office fan,turn_off,Tắt quạt văn phòng
fan.outdoor,Toggle the outdoor fan,toggle,Chuyển đổi quạt ngoài trời
fan.patio,Turn off the patio fan,turn_off,Tắt người hâm mộ hiên
fan.pool,Change the status of the pool fan,toggle,Thay đổi trạng thái của quạt hồ bơi
fan.shed,Switch the shed fan on or off,toggle,Bật hoặc tắt quạt
fan.study,Activate the study fan,turn_on,Kích hoạt quạt nghiên cứu
fan.study,Alter the fan state in the study,toggle,Thay đổi trạng thái quạt trong nghiên cứu
fan.study,Ramp up the fan speed in the study,increase_speed,Tăng tốc độ quạt trong nghiên cứu
fan.study,Reduce the fan speed in the study,decrease_speed,Giảm tốc độ quạt trong nghiên cứu
fan.study,Switch off the study fan,turn_off,Tắt quạt học
fan.study,Switch on the study fan,turn_on,Bật quạt học
fan.study,Turn off the study fan,turn_off,Tắt quạt học
fan.study,Turn off the study fan,turn_off,Tắt quạt học
garage_door.basement,Please raise the basement garage door,open,Vui lòng nâng cửa nhà để xe tầng hầm
garage_door.bike_storage,Activate the bike storage garage,open,Kích hoạt nhà để xe lưu trữ xe đạp
garage_door.bike_storage,Deactivate the bike storage garage,close,Vô hiệu hóa nhà để xe lưu trữ xe đạp
garage_door.main,Close the main garage door,close,Đóng cửa nhà để xe chính
garage_door.main,Open the main garage door,open,Mở cửa nhà để xe chính
garage_door.main,Stop the main garage door,stop,Dừng cửa nhà để xe chính
garage_door.main,Toggle the main garage door,toggle,Chuyển đổi cửa nhà để xe chính
garage_door.one_car,Make sure the one car garage is closed,close,Đảm bảo rằng một nhà để xe được đóng lại
garage_door.side,Could you lift the side garage door,open,Bạn có thể nâng cửa nhà để xe bên
garage_door.side,Halt the side garage door,stop,Dừng cửa nhà để xe bên
garage_door.side,Lower the side garage door,close,Hạ cửa nhà để xe bên
garage_door.side,Switch the state of the side garage door,toggle,Chuyển đổi trạng thái của cửa nhà để xe bên
garage_door.two_car,Open the two car garage,open,Mở hai gara ô tô
light.attic,Change the light status in the attic,toggle,Thay đổi trạng thái ánh sáng trên gác mái
light.bathroom_1,Could you illuminate the bathroom,turn_on,Bạn có thể chiếu sáng phòng tắm
light.bathroom_1,Please extinguish the bathroom light,turn_off,Vui lòng dập tắt đèn phòng tắm
light.bathroom,Activate the bathroom light,turn_on,Kích hoạt đèn phòng tắm
light.bathroom,Switch off the bathroom light,turn_off,Tắt đèn phòng tắm
light.bathroom,Turn off the bathroom light,turn_off,Tắt đèn phòng tắm
light.bathroom,Turn off the bathroom light,turn_off,Tắt đèn phòng tắm
light.bathroom,Turn off the bathroom light,turn_off,Tắt đèn phòng tắm
light.bedroom_1,Activate the bedroom light,turn_on,Kích hoạt đèn phòng ngủ
light.bedroom_1,Deactivate the bedroom light,turn_off,Vô hiệu hóa đèn phòng ngủ
light.bedroom_1,Toggle the bedroom light,toggle,Chuyển đổi đèn phòng ngủ
light.bedroom_2,Switch off the bedroom light,turn_off,Tắt đèn phòng ngủ
light.dining_room_1,Activate the lights in the dining room,turn_on,Kích hoạt đèn trong phòng ăn
light.dining_room,Activate the dining room light,turn_on,Kích hoạt đèn phòng ăn
light.dining_room,Switch off the dining room light,turn_off,Tắt đèn phòng ăn
light.dining_room,Switch off the dining room light,turn_off,Tắt đèn phòng ăn
light.dining_room,Switch off the dining room light,turn_off,Tắt đèn phòng ăn
light.dining_room,Switch off the dining room light,turn_off,Tắt đèn phòng ăn
light.dining_room,Turn off the dining room light,turn_off,Tắt đèn phòng ăn
light.dining_table_above,Please toggle the light above the dining table,toggle,Vui lòng chuyển ánh sáng phía trên bàn ăn
light.driveway,Flip the driveway light,toggle,Lật đèn lái xe
light.driveway,Turn on the driveway light,turn_on,Bật đèn lái xe
light.garage,Activate the garage light,turn_on,Kích hoạt đèn nhà để xe
light.garage,Activate the garage light,turn_on,Kích hoạt đèn nhà để xe
light.garage,Flip the light in the garage,toggle,Lật ánh sáng trong nhà để xe
light.garage,Switch on the garage light,turn_on,Bật đèn nhà để xe
light.garage,Switch on the garage light,turn_on,Bật đèn nhà để xe
light.garden_1,Deactivate the garden light,turn_off,Vô hiệu hóa ánh sáng vườn
light.garden_1,Switch on the garden light,turn_on,Bật đèn vườn
light.garden_1,Turn on the garden light,turn_on,Bật đèn sân vườn
light.garden_2,Activate the garden light,turn_on,Kích hoạt đèn làm vườn
light.garden,Switch on the garden light,turn_on,Bật đèn vườn
light.guest_room,Could you toggle the light in the guest room,toggle,Bạn có thể bật đèn trong phòng khách không
light.guest_room,Deactivate the guest room light,turn_off,Đã hủy kích hoạt đèn phòng khách
light.guest_room,Switch off the guest room light,turn_off,Tắt đèn phòng khách
light.guest_room,Switch on the guest room light,turn_on,Bật đèn phòng khách
light.guest_room,Toggle the guest room light,toggle,Chuyển đổi đèn phòng khách
light.hallway,Switch off the hallway light,turn_off,Tắt đèn hành lang
light.hallway,Switch the state of the light in the hallway,toggle,Chuyển đổi trạng thái của ánh sáng ở hành lang
light.hallway,Toggle the hallway light,toggle,Chuyển đổi đèn hành lang
light.hallway,Turn off the hallway light,turn_off,Tắt đèn hành lang
light.hallway,Turn on the hallway light,turn_on,Bật đèn hành lang
light.kitchen_1,Switch on the kitchen lights,turn_on,Bật đèn nhà bếp
light.kitchen_1,Toggle the kitchen light,toggle,Chuyển đổi đèn nhà bếp
light.kitchen_1,Turn on the kitchen light,turn_on,Bật đèn nhà bếp
light.kitchen_2,Switch off the kitchen light,turn_off,Tắt đèn nhà bếp
light.kitchen_2,Toggle the kitchen light,toggle,Chuyển đổi đèn nhà bếp
light.kitchen_counter,Switch off the kitchen counter light,turn_off,Tắt đèn quầy bếp
light.kitchen_counter,Switch on the kitchen counter light,turn_on,Bật đèn quầy bếp
light.living_room_1,Switch off the living room light,turn_off,Tắt đèn phòng khách
light.living_room,Turn off the living room light,turn_off,Tắt đèn phòng khách
light.living_room,Turn on the living room light,turn_on,Bật đèn phòng khách
light.master_bedroom_1,Deactivate the master bedroom light,turn_off,Vô hiệu hóa đèn phòng ngủ chính
light.master_bedroom_1,Please activate the master bedroom light,turn_on,Vui lòng kích hoạt đèn phòng ngủ chính
light.master_bedroom_lamp,Turn off the light in the bedroom,turn_off,Tắt đèn trong phòng ngủ
light.office_1,Enable the office light,turn_on,Bật đèn văn phòng
light.office,Deactivate the office light,turn_off,Vô hiệu hóa đèn văn phòng
light.office,Toggle the office light,toggle,Chuyển đổi đèn văn phòng
light.outdoor,Toggle the outdoor light,toggle,Chuyển đổi ánh sáng ngoài trời
light.patio,Deactivate the patio light,turn_off,Vô hiệu hóa ánh sáng hiên
light.patio,Disable the patio light,turn_off,Tắt đèn hiên
light.patio,Enable the patio light,turn_on,Bật đèn sân
light.patio,Switch on the patio light,turn_on,Bật đèn hiên
light.patio,Toggle the patio light,toggle,Chuyển đổi ánh sáng hiên
light.patio,Turn on the patio light,turn_on,Bật đèn sân
light.patio,Turn on the patio light,turn_on,Bật đèn sân
