device_name,description,description_vi
blinds.back_window,Back Window Blinds,Rèm cửa sổ phía sau
blinds.basement,Basement Blinds,Rèm tầng hầm
blinds.bathroom_1,First bathroom blinds,Rèm phòng tắm đầu tiên
blinds.bathroom,Bathroom Blinds,Rèm phòng tắm
blinds.craft_room,Craft room blinds,Rèm phòng thủ công
blinds.dining_room,Dining Room Blinds,Rèm phòng ăn
blinds.front_window,Front Window Blinds,Rèm cửa sổ phía trước
blinds.garage,Garage Blinds,Rèm nhà để xe
blinds.guest_bathroom,Guest bathroom blinds,Rèm phòng tắm cho khách
blinds.guest_room,Guest Room Blinds,Rèm phòng khách 
blinds.hallway_1,First hallway blinds,Rèm hành lang đầu tiên
blinds.hallway_2,Second hallway blinds,Rèm hành lang thứ hai
blinds.hallway,Hallway Blinds,Rèm hành lang
blinds.ikea_smart,Ikea Smart Blinds,Rèm thông  Ikea
blinds.kids_room,Kids' room blinds,Rèm phòng trẻ em
blinds.kitchen_window,Kitchen window blinds,Rèm cửa sổ nhà bếp
blinds.kitchen,Kitchen Blinds,Rèm nhà bếp
blinds.living_room_large,Main living room blinds,Phòng khách chính rèm
blinds.living_room,Living Room Blinds,Rèm phòng khách
blinds.master_bedroom,Master Bedroom Blinds,Rèm phòng ngủ chính
blinds.nursery,Nursery Blinds,Mắt vườn ươm
blinds.office,Office Blinds,Rèm văn phòng
blinds.office_window,Office Window Blinds,Rèm cửa sổ văn phòng
blinds.patio,Patio Blinds,Rèm hiên
blinds.skylight,Skylight Blinds,Của sổ trời
blinds.skylight,Skylight blinds,Cửa sổ trời
blinds.somfy_kitchen,Kitchen Blinds,Rèm nhà bếp
blinds.somfy_living,Living Room Blinds,Rèm phòng khách
blinds.sunroom,Sunroom Blinds,Rèm phòng tắm nắng
blinds.theater_room,Home theater blinds,Rèm nhà hát tại nhà
fan.attic_1,Attic Fans,Quạt gác mái
fan.attic_2,Attic Fans,Quạt gác mái
fan.attic_3,Attic Fans,Quạt gác mái
fan.attic_ventilation,Attic ventilation fan,Quạt thông gió Attic
fan.attic,Attic Fan,Quạt Attic
fan.back_porch,Back Porch Fan,Back Porch Fan
fan.balcony,Balcony Fan,Quạt ban công
fan.basement,Basement Fan,Quạt tầng hầm
fan.bathroom_down,Fan in downstairs bathroom,Quạt trong phòng tắm ở tầng dưới
fan.bathroom,Bathroom Fan,Quạt phòng tắm
fan.bedroom_master,Master Bedroom Fan,Quạt phòng ngủ chính
fan.bedroom_right,Right-side bedroom fan,Quạt phòng ngủ bên phải
fan.bedroom,Bedroom Fan,Quạt phòng ngủ
fan.ceiling_1,Ceiling Fans,Quạt trần
fan.ceiling_2,Ceiling Fans,Quạt trần
fan.dining_area,Dining Area Fan,Quạt khu vực ăn uống
fan.dining_room,Dining Room Fan,Quạt phòng ăn
fan.dyson_pure,Dyson Pure Fan,Dyson Pure Fan
fan.front_porch,Front Porch Fan,Quạt hiên trước
fan.garage_workshop,Garage workshop fan,Quạt hội thảo nhà để xe
fan.garage,Garage Fan,Quạt nhà để xe
fan.guest_bedroom,Guest room fan,Quạt phòng khách
fan.guest_room,Guest Room Fan,Quạt phòng khách
fan.hallway,Hallway fan,Quạt hành lang
fan.honeywell_turbo,Honeywell Turbo Fan,Quạt Honeywell Turbo
fan.indoor_gym,Indoor Gym Fan,Quạt phòng tập thể dục trong nhà
fan.kids_room,Kids' room fan,Quạt phòng trẻ em
fan.kitchen_1,Kitchen Fans,Quạt nhà bếp
fan.kitchen_2,Kitchen Fans,Quạt nhà bếp
fan.kitchen_island,Cooling kitchen fan,Quạt nhà bếp làm mát
fan.kitchen,Kitchen Fan,Quạt nhà bếp
fan.laundry_room,Laundry room fan,Quạt phòng giặt
fan.living_room_1,Living Room fan,Quạt phòng khách
fan.living_room_2,Living Room fan,Quạt phòng khách
fan.living_room_center,Center living room fan,Quạt phòng khách trung tâm
fan.living_room,Living Room Fan,Quạt phòng khách
fan.master_bath,Master bathroom fan,Quạt phòng tắm chính
fan.nursery,Nursery Fan,Quạt nhà trẻ
fan.office,Office Fan,Quạt văn phòng
fan.outdoor_kitchen,Outdoor kitchen fan,Quạt nhà bếp ngoài trời
fan.outdoor_patio,Outdoor patio fan,Quạt hiên ngoài trời
fan.outdoor,Outdoor fan,Quạt ngoài trời
fan.patio,Patio Fan,Quạt hiên
fan.porch,Porch ceiling fan,Quạt trần hiên
fan.shed,Shed fan,Quạt
fan.study_1,Study fan,Quạt học
fan.study_2,Study fan,Quạt học
fan.study,study fan,Quạt học
garage_door.basement,Basement Garage Door,Cửa nhà để xe
garage_door.bike_shed,Bike shed door,Cửa nhà để xe đạp
garage_door.bike_storage,Bike Storage Garage,Nhà để xe đạp
garage_door.boat,Boat Garage Door,Cửa nhà để xe
garage_door.boat,Boat storage door,Cửa lưu trữ thuyền
garage_door.carport,Carport Garage Door,Cửa nhà để xe
garage_door.carport,Carport door,Cửa carport
garage_door.chamberlain_1,Chamberlain,Chamberlain
garage_door.chamberlain_2,Chamberlain,Chamberlain
garage_door.golf_cart,Golf Cart Garage,Golf xe gara
garage_door.golf_cart,Golf cart door,Cửa xe golf
garage_door.greenhouse,Greenhouse door,Cửa nhà kính
garage_door.guest,Guest Garage Door,Cửa nhà để xe khách
garage_door.lawn_equipment,Lawn equipment door,Cửa thiết bị cỏ
garage_door.liftmaster_1,LiftMaster,Thang máy
garage_door.liftmaster_2,LiftMaster,Thang máy
garage_door.main_1,Primary garage door,Cửa nhà để xe chính
garage_door.main,Main Garage Door,Cửa nhà để xe chính
garage_door.motorcycle,Motorcycle Garage,Nhà để xe xe máy
garage_door.one_car,One Car Garage,Một nhà để xe
garage_door.pet_entry,Pet entry door,Cửa ra vào thú cưng
garage_door.rv_storage,RV storage door,Cửa lưu trữ RV
garage_door.rv,RV Garage Door,Cửa nhà để xe RV
garage_door.shed_1,First shed door,Cửa hàng đầu tiên
garage_door.shed_2,Second shed door,Cửa hàng thứ hai
garage_door.shop,Workshop Garage Door,Cửa hội thảo cửa nhà để xe
garage_door.left_door,Left Garage Door,Cửa nhà để xe
garage_door.side_2,Side garage door,Cửa nhà để xe bên
garage_door.side,Side Garage Door,Cửa nhà để xe bên
garage_door.spare,Spare Garage Door,Cửa nhà để xe dự phòng
garage_door.two_car,Two Car Garage,Hai nhà để xe
garage_door.upper_level,Upper Level Garage,Nhà để xe cấp trên
garage_door.wine_cellar,Wine cellar door,Cửa hầm rượu
light.above_dining_table,Dining Table Light,Đèn bàn ăn
light.aquarium,Aquarium Light,Ánh sáng hồ cá
light.attic,Attic Light,Ánh sáng gác mái
light.backyard,Backyard Light,Đèn sân sau
light.basement,Basement Light,Ánh sáng tầng hầm
light.bathroom_1,Bathroom Light,Đèn phòng tắm
light.bathroom_2,Bathroom Light,Đèn phòng tắm
light.bathroom_mirror,Mirror lights,Đèn gương
light.bathroom,Bathroom Light,Đèn phòng tắm
light.bedroom_1,Bedroom Light,Ánh sáng phòng ngủ
light.bedroom_2,Bedroom Light,Ánh sáng phòng ngủ
light.bedroom_3,Bedroom Light,Ánh sáng phòng ngủ
light.bedroom,Bedroom Light,Ánh sáng phòng ngủ
light.closet_under_stairs,Under-stairs closet light,Đèn tủ quần áo dưới cầu thang
light.deck_left,Left deck light,Đèn sàn trái
light.dining_room_1,Dining Room Light,Phòng ăn đèn
light.dining_room_2,Dining Room Light,Phòng ăn đèn
light.dining_room_3,Dining Room Light,Phòng ăn đèn
light.dining_room,Dining Room Light,Phòng ăn đèn
light.driveway_1,First driveway light,Đèn lái xe đầu tiên
light.driveway,Driveway Light,Đèn lái xe
light.front_porch,Front Porch Light,Hiên trước ánh sáng
light.front_yard,Front yard lighting,Ánh sáng sân trước
light.garage,Garage Light,Đèn nhà để xe
light.garden_1,Garden Light,Đèn sân vườn
light.garden_2,Garden Light,Đèn sân vườn
light.garden_path,Garden path lighting,Ánh sáng đường dẫn vườn
light.garden,Garden Light,Đèn sân vườn
light.guest_room,Guest room Lights,Đèn phòng khách
light.hallway_upstairs,Upstairs hallway light,Ánh sáng hành lang trên lầu
light.hallway,Hallway Lights,Đèn hành lang
light.hallway,Hallway Light,Hành lang ánh sáng
light.hot_tub,Hot tub lighting,Ánh sáng bồn nước nóng
light.kitchen_1,Main Kitchen Light,Đèn nhà bếp chính
light.kitchen_2,Second Kitchen Light,Đèn nhà bếp thứ hai
light.kitchen_counter,Kitchen Counter Light,Đèn quầy bếp
light.kitchen_counter,Kitchen counter lights,Đèn quầy bếp
light.kitchen_table,Kitchen Table Light,Đèn bàn bếp
light.kitchen,Kitchen Light,Đèn nhà bếp
light.lifx_master,Master Light,Ánh sáng chính
light.living_room_1,Living Room Lights,Đèn phòng khách
light.living_room_2,Living Room Lights,Đèn phòng khách
light.living_room_ceiling,Living Room Ceiling Light,Đèn trần phòng khách
light.living_room_ceiling,Bright ceiling light,Ánh sáng trần sáng
light.living_room,Living Room Light,Phòng khách ánh sáng
light.master_bedroom_1,Master Bedroom Lights,Đèn phòng ngủ chính
light.master_bedroom_2,Master Bedroom Lights,Đèn phòng ngủ chính
light.master_bedroom_lamp,Master Bedroom Lamp,Đèn phòng ngủ chính
light.nursery,Nursery Light,Ánh sáng nhà trẻ
light.office_1,Office Light,Đèn văn phòng
light.office_2,Office Light,Đèn văn phòng
light.office_desk,Office Desk Light,Bàn văn phòng đèn
light.office,Office Light,Đèn văn phòng
light.outdoor,Outdoor Lights,Đèn ngoài trời
light.patio_1,Outdoor patio light,Ánh sáng ngoài trời
light.patio,Patio Lights,Đèn hiên
light.patio,Patio Light,Ánh sáng hiên
light.philips_hue_1,Philips Hue,Philips Huế
light.philips_hue_2,Philips Hue,Philips Huế
light.pool,Pool Light,Hồ bơi ánh sáng
light.shed,Shed Light,Làm sáng tỏ
light.study_1,Study Lights,Đèn học
light.study_2,Study Lights,Đèn học
light.study_3,Study Lights,Đèn học
light.study,Study Light,Nghiên cứu ánh sáng
light.workbench,Garage workbench light,Nhà để xe làm bàn làm việc
light.yeelight_smart,Yeelight Smart Light,Ánh sáng thông minh của YeLight
light.upstairs_master_bedroom_hue,Upstairs Master Bedroom Hue,Tầng trên phòng ngủ chính
light.downstairs_guest_bedroom_zigbee,Downstairs Guest Bedroom Light,Đèn phòng ngủ của khách ở tầng dưới
light.front_office_mqtt,Front Office Light,Đèn văn phòng phía trước
light.back_family_room_warm,Back Family Room Warm Light,Phòng gia đình trở lại ánh sáng ấm áp
light.kitchen_counter_cool,Kitchen Counter Cool Light,Bếp đèn mát
light.upstairs_bathroom_homekit,Upstairs Bathroom Light,Đèn phòng tắm trên lầu
light.downstairs_livingroom_lifx,Downstairs Living Room Light,Đèn phòng khách ở tầng dưới
light.front_porch_zwave,Front Porch Light,Hiên trước ánh sáng
